Component,Qty,LCSC Part #,Unit Price,Line Total,Buy
FT232RL,1,C8690,$6.1561,$6.16,https://www.lcsc.com/product-detail/_C8690.html
TLV75733PDBV,1,C485517,$0.1819,$0.18,https://www.lcsc.com/product-detail/_C485517.html
USBLC6-2SC6,1,C7519,$0.0896,$0.09,https://www.lcsc.com/product-detail/_C7519.html
100nF 0805,6,C1711,$0.0266,$0.16,https://www.lcsc.com/product-detail/_C1711.html
4.7uF 0805,2,C98195,$0.0450,$0.09,https://www.lcsc.com/product-detail/_C98195.html
10uF 0805,1,C15850,$0.2211,$0.22,https://www.lcsc.com/product-detail/_C15850.html
22uF 0805,1,C907991,$0.1794,$0.18,https://www.lcsc.com/product-detail/_C907991.html
10k 0805,16,C2889526,$0.0009,$0.01,https://www.lcsc.com/product-detail/_C2889526.html
1k 0805,4,C2907232,$0.0033,$0.01,https://www.lcsc.com/product-detail/_C2907232.html
100k 0805,1,C100049,$0.0038,$0.00,https://www.lcsc.com/product-detail/_C100049.html
5.1k 0805,2,C27834,$0.0035,$0.01,https://www.lcsc.com/product-detail/_C27834.html
33R 0805,2,C2907258,$0.0031,$0.01,https://www.lcsc.com/product-detail/_C2907258.html
BC817 SOT-23,2,C22400355,$0.0110,$0.02,https://www.lcsc.com/product-detail/_C22400355.html
AO3401A SOT-23,1,C15127,$0.0717,$0.07,https://www.lcsc.com/product-detail/_C15127.html
LED Green 0805,2,C2297,$0.0163,$0.03,https://www.lcsc.com/product-detail/_C2297.html
LED Yellow 0805,1,C2296,$0.0123,$0.01,https://www.lcsc.com/product-detail/_C2296.html
LED Blue 0805,1,C2293,$0.0123,$0.01,https://www.lcsc.com/product-detail/_C2293.html
LED Orange 0805,2,C110371,$0.0159,$0.03,https://www.lcsc.com/product-detail/_C110371.html
LED Red 0805,1,C2295,$0.0116,$0.01,https://www.lcsc.com/product-detail/_C2295.html
LED White 0805,6,C34499,$0.0203,$0.12,https://www.lcsc.com/product-detail/_C34499.html
Conn_01x04 2.54mm,1,C41427519,$0.2015,$0.20,https://www.lcsc.com/product-detail/_C41427519.html
Conn_01x07 2.54mm,1,C22438157,$0.1192,$0.12,https://www.lcsc.com/product-detail/_C22438157.html
USB-C Receptacle 14P,1,C165948,$0.1857,$0.19,https://www.lcsc.com/product-detail/_C165948.html
PPTC 600mA/1.2A,1,C94464,$0.2491,$0.25,https://www.lcsc.com/product-detail/_C94464.html
Polyfuse 2.5A 0603,1,C207017,$0.2652,$0.27,https://www.lcsc.com/product-detail/_C207017.html
SPDT Slide Switch,1,C221829,$0.6162,$0.62,https://www.lcsc.com/product-detail/_C221829.html
PCB,1,,$20.0000,$20.00,https://www.jlcpcb.com/
STENCIL,1,,$15.0000,$15.00,https://www.jlcpcb.com/
,,,,,COMPONENT TOTAL: $9.07
,,,,,PCB TOTAL: $35.00
,,,,,TOTAL: $44.07
