Designator,Mid X,Mid Y,Rotation,Layer
C1,49.0,-76.5,90.0,top
C10,30.0,-37.0,180.0,top
C11,30.0,-49.5,180.0,top
C12,30.0,-34.5,180.0,top
C13,30.0,-47.0,180.0,top
C14,48.3,-24.5,180.0,top
C2,49.0,-80.5,270.0,top
C3,49.0,-67.5,270.0,top
C4,49.0,-63.5,90.0,top
C5,50.0,-58.0,0.0,top
C6,32.5375,-54.5,180.0,top
C7,32.5375,-52.5,180.0,top
C8,50.0,-54.0,0.0,top
C9,50.0,-56.0,0.0,top
D1,60.0,-40.0,180.0,top
D10,60.0,-42.5,180.0,top
D11,60.0,-27.5,180.0,top
D12,60.0,-25.0,180.0,top
D2,60.0,-52.5,180.0,top
D3,60.0,-37.5,180.0,top
D4,60.0,-50.0,180.0,top
D5,60.0,-35.0,180.0,top
D6,60.0,-47.5,180.0,top
D7,60.0,-32.5,180.0,top
D8,60.0,-45.0,180.0,top
D9,60.0,-30.0,180.0,top
F1,54.0,-78.5,90.0,top
H1,20.0,-20.0,0.0,top
H2,60.0,-20.0,0.0,top
H3,60.0,-85.0,0.0,top
H4,20.0,-85.0,0.0,top
J1,40.0,-86.0,0.0,top
J4,35.0,-17.46,90.0,top
J5,50.5,-17.5,90.0,top
JP1,38.6,-64.3,90.0,top
JP2,41.4,-64.3,270.0,top
Q1,55.5,-72.0,90.0,top
Q2,48.3,-30.7,270.0,top
Q3,48.3,-43.5,270.0,top
R1,43.5,-73.5,0.0,top
R10,23.0,-40.0,0.0,top
R11,23.0,-30.0,0.0,top
R12,23.0,-42.5,0.0,top
R13,23.0,-32.5,0.0,top
R14,23.0,-45.0,0.0,top
R15,23.0,-25.0,0.0,top
R16,23.0,-35.0,0.0,top
R17,23.0,-37.5,0.0,top
R18,23.0,-47.5,0.0,top
R19,21.25,-66.0,180.0,top
R2,36.5,-73.5,180.0,top
R20,28.75,-63.5,0.0,top
R21,21.25,-68.5,180.0,top
R22,28.75,-66.0,0.0,top
R23,21.25,-71.0,180.0,top
R24,28.75,-68.5,0.0,top
R25,21.25,-63.5,180.0,top
R26,28.75,-58.5,0.0,top
R27,28.75,-61.0,0.0,top
R28,28.75,-71.0,0.0,top
R29,21.25,-58.5,180.0,top
R3,55.5,-68.5,180.0,top
R30,21.25,-61.0,180.0,top
R31,48.3,-34.7,180.0,top
R32,48.3,-26.7,0.0,top
R33,48.3,-47.5,180.0,top
R34,48.3,-39.5,0.0,top
R4,50.0,-60.0,0.0,top
R5,41.5,-45.0,90.0,top
R6,38.5,-45.0,90.0,top
R7,38.5,-25.5,90.0,top
R8,41.5,-25.5,90.0,top
R9,23.0,-27.5,0.0,top
SW1,62.2975,-68.0,90.0,top
U1,40.0,-69.5,270.0,top
U2,49.0,-72.0,270.0,top
U3,40.0,-55.0,270.0,top
U4,30.0,-30.0,270.0,top
U5,30.0,-42.5,270.0,top
