Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14, C4, C5, C7, C8",0805,8,100nF,
"C12, C13, C2",0805,3,10uF,
C3,0805,1,22uF,
"C6, C9",0805,2,4.7uF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",0805,12,LED,
F1,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,"600mA hold, 1.2A trip",
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J4,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
Q1,SOT-23,1,AO3401A,
"Q2, Q3",SOT-23,2,BC817,
"R1, R2",0805,2,5.1k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R32, R34, R4, R9",0805,25,10k,
R3,0805,1,100k,
"R31, R33, R7, R8",0805,4,1k,
"R5, R6",0805,2,33R,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT_321,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,SOT-23-5,1,TLV75733PDBV,
U3,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
"U4, U5",TSSOP-16_4.4x5mm_P0.65mm,2,ULN2003,
