Designator,Mid X,Mid Y,Rotation,Layer
C1,50.0,-84.999999,0.0,top
C10,46.0,-26.0,0.0,top
C2,50.0,-82.0,0.0,top
C3,50.0,-74.0,0.0,top
C4,50.0,-71.000001,0.0,top
C5,48.0,-64.0,180.0,top
C6,48.0,-60.0,0.0,top
C7,48.0,-62.0,0.0,top
C8,32.0,-66.0,180.0,top
C9,32.0,-64.0,180.0,top
D1,60.0,-46.0,180.0,top
D10,60.0,-49.0,180.0,top
D11,60.0,-28.0,180.0,top
D12,60.0,-25.0,180.0,top
D13,60.0,-31.0,180.0,top
D2,60.0,-61.0,180.0,top
D3,60.0,-43.0,180.0,top
D4,60.0,-58.0,180.0,top
D5,60.0,-40.0,180.0,top
D6,60.0,-55.0,180.0,top
D7,60.0,-37.0,180.0,top
D8,60.0,-52.0,180.0,top
D9,60.0,-34.0,180.0,top
F1,28.0,-85.0,180.0,top
F2,28.0,-82.0,0.0,top
H1,20.0,-20.0,0.0,top
H2,60.0,-20.0,0.0,top
H3,60.0,-85.0,0.0,top
H4,20.0,-85.0,0.0,top
J1,40.0,-86.0,0.0,top
J2,35.0,-18.0,90.0,top
J3,50.41,-18.0,90.0,top
JP1,38.0,-73.0,90.0,top
JP2,42.0,-73.0,270.0,top
Q1,29.0,-79.0,180.0,top
Q2,44.0,-33.0,270.0,top
Q3,48.0,-33.0,90.0,top
R1,45.0,-79.0,0.0,top
R10,44.0,-29.0,0.0,top
R11,48.0,-29.0,0.0,top
R12,48.0,-37.0,180.0,top
R13,20.0,-37.0,0.0,top
R14,20.0,-52.0,0.0,top
R15,20.0,-40.0,0.0,top
R16,20.0,-55.0,0.0,top
R17,20.0,-43.0,0.0,top
R18,20.0,-58.0,0.0,top
R19,20.0,-34.0,0.0,top
R2,35.0,-78.992893,180.0,top
R20,20.0,-46.0,0.0,top
R21,20.0,-49.0,0.0,top
R22,20.0,-61.0,0.0,top
R23,20.0,-25.0,0.0,top
R24,20.0,-28.0,0.0,top
R25,20.0,-31.0,0.0,top
R3,25.0,-79.0,270.0,top
R4,48.0,-66.0,0.0,top
R5,42.0,-52.0,90.0,top
R6,38.0,-52.0,90.0,top
R7,35.0,-26.0,90.0,top
R8,37.5,-26.0,90.0,top
R9,44.0,-37.0,180.0,top
SW1,60.0,-70.000001,90.0,top
U1,40.0,-77.5,270.0,top
U2,50.0,-78.0,270.0,top
U3,40.0,-62.0,270.0,top
